weight logl A B $log(f)$
0.000000000000000000e+00 -1.075722850455882251e+08 3.825532849364178256e-01 1.389667242592141916e-01 4.104111592435502054e-01
0.000000000000000000e+00 -1.075074497779223174e+08 3.605933648431899341e-01 3.636817733794864838e-01 3.247011412337516001e-01
0.000000000000000000e+00 -1.047250428163434863e+08 7.045591963437370930e-01 8.738494814359349938e-01 2.573834222051228915e-01
0.000000000000000000e+00 -1.023833129382295907e+08 2.930655569024238627e-01 9.882614587391843619e-01 4.999507577740996966e-01
0.000000000000000000e+00 -1.009406566660093963e+08 3.539559008347111790e-01 3.858934322083362733e-02 5.946627044273951057e-01
0.000000000000000000e+00 -1.007168114212809503e+08 4.289142892472097568e-02 3.823759353754999646e-01 7.224951870119142860e-01
0.000000000000000000e+00 -1.003960575549571365e+08 2.615044766380385521e-01 5.464325626358268462e-02 6.621127148567860221e-01
0.000000000000000000e+00 -1.003516497830651999e+08 3.260151460831821058e-01 7.666828755922020511e-01 5.345609269666494467e-02
0.000000000000000000e+00 -9.986155900148119032e+07 7.081061047601202585e-01 8.019743571038038255e-01 3.844298513302362164e-01
0.000000000000000000e+00 -9.950353224931535125e+07 3.090136205266292291e-01 4.284486206235915695e-01 6.022051925544871231e-01
0.000000000000000000e+00 -9.802660312457467616e+07 2.975238408911440313e-01 9.196481634963795671e-01 5.328064542528772041e-01
0.000000000000000000e+00 -9.752018523614199460e+07 8.854735965478756077e-01 2.577294729992066769e-01 6.561069824692888908e-01
0.000000000000000000e+00 -9.507230454708623886e+07 9.197248176953357612e-01 3.540685901686801973e-02 6.639201814266111334e-01
0.000000000000000000e+00 -9.438356306200972199e+07 3.563130207524640714e-01 5.294568539824643372e-01 5.507346783624655906e-02
0.000000000000000000e+00 -9.403769328831031919e+07 6.958112704501552281e-01 8.610232924927364584e-01 3.370067721214867751e-01
0.000000000000000000e+00 -9.334406315769754350e+07 2.993462256664449206e-01 7.831915853985451648e-01 5.751084284435030725e-01
0.000000000000000000e+00 -9.312344380671526492e+07 9.227427908279020041e-01 3.970636942356324250e-01 6.829798272163905004e-01
0.000000000000000000e+00 -9.237553926688334346e+07 7.903547481992447832e-01 8.457650162931460436e-01 6.404004472951857485e-01
0.000000000000000000e+00 -8.905344683219356835e+07 3.285007172254270635e-01 8.508490055917682371e-01 6.197901446211884213e-02
0.000000000000000000e+00 -8.899893914602163434e+07 3.846976952640284164e-01 3.068222377304986592e-01 1.837242386453996623e-03
0.000000000000000000e+00 -8.898089434476269782e+07 8.611228078623328619e-02 2.698410134977165531e-01 7.223353665718375005e-01
